"Group","Item","Page","Guidance","Done","Notes"
"Securing Traffic Through Network Segmentation","Supported Environment","169","AOS and hypervisor compatibility information to support network segmentation. The following are the hypervisor compatibility for network segmentation: ¶ Segmentation Type Supported Hypervisor ¶ Network segmentation by traffic type where you can AHV, ESXi, Hyper-V separate backplane traffic from management traffic ¶ Service-specific traffic isolation AHV, ESXi ¶ The following are the AOS requirements for network segmentation: ¶ Segmentation Type AOS Version Logical network segmentation 5.5 or later Physical network segmentation 5.11 or later Service-specific traffic isolation 5.11 or later","",""
"Securing Traffic Through Network Segmentation","RDMA Requirements for Network Segmentation","170","The following is the RDMA requirement to support network segmentation: Network segmentation is supported with RDMA for AHV and ESXi hypervisors only. For more information about RDMA, see Remote Direct Memory Access in the NX Series Hardware Administration Guide.","",""
"Securing Traffic Through Network Segmentation","Prerequisites","170","Ensure that the following prerequisites are met before you configure network segmentation: ¶ Ensure that proxy ARP is disabled within the Nutanix VLAN before configuring network segmentation. If the cluster is registered to Prism Central and currently uses a segmented Data Services IP (DSIP) located in ¶ a secondary subnet, you must configure an additional DSIP within the original subnet as Prism Central. This is required because: ¶ Prism Central cannot perform upgrade operations using a segmented DSIP. The segmented DSIP and the cluster DSIP are distinct entities. A DSIP in the same subnet ensures direct communication between Prism Central and the cluster during the ¶ upgrade process. Failure to configure a DSIP in the appropriate subnet will prevent Prism Central from initiating or completing cluster upgrades. ¶ Nutanix Volumes Stargate does not monitor the health of a segmented network. If physical network segmentation is configured, network failures or connectivity issues are not tolerated. To overcome this issue, configure redundancy in the network. That is, use two or more uplinks in a fault tolerant configuration, connected to two separate physical switches. ¶ Disaster Recovery Ensure that the following prerequisites are met before you configure network segmentation for disaster recovery: ¶ Ensure that the VLAN and subnet that you plan to use for the network segment are routable. Ensure that you have a pool of IP addresses to specify when configuring segmentation. For each cluster, you need ¶ n+1 IP addresses, where n is the number of nodes in the cluster. The additional IP address is for the virtual IP address requirement. Ensure that network segmentation for disaster recovery is enabled at both sites (local and remote) before configuring remote sites at those sites.","",""
"Securing Traffic Through Network Segmentation","Limitations","170","Nutanix Volumes ¶ When you enable network segmentation for Volumes, you cannot recover volume group attachments during VM recovery. ¶ Nutanix service VMs such as Objects worker nodes continue to communicate with the CVM eth0 interface when using Volumes for iSCSI traffic. Other external clients, such as Files, use the new service-specific CVM interface.","",""
"Securing Traffic Through Network Segmentation","Cluster Services That Support Traffic Isolation","171","You can isolate traffic associated with the following services to its own virtual network: ¶ Management (the default network that cannot be moved from CVM eth0) Backplane RDMA Service-specific disaster recovery Service-specific Volumes","",""
"Securing Traffic Through Network Segmentation","Unsupported Configurations for Network Segmentation","171","The following cluster configurations do not support network segmentation: ¶ Clusters on which the CVMs have a manually created eth2 interface. Clusters on which the eth2 interface on one or more CVMs have manually assigned IP addresses. During an ¶ upgrade to an AOS release that supports network segmentation, AOS creates an eth2 interface on each CVM in a cluster. Even though the cluster does not use these interfaces until you configure network segmentation, you must not manually configure these interfaces in any way. Clusters on which CVM interfaces are connected to port groups backed by NSX NVDS switches. ¶ Caution: Nutanix deprecated support for manual multi-homed CVM network interfaces from AOS version 5.15 and later. Such a manual configuration can lead to unexpected issues on these releases. If you configured an eth2 interface on the CVM manually, see the KB 9479 and Nutanix Field Advisory #78 for details on how to remove the eth2 interface.","",""
"Securing Traffic Through Network Segmentation","Troubleshooting Tips","171","This section provides information to assist troubleshooting network segmentation deployments. The Failed to restart one or more services after Backplane was enabled error might occur while enabling network segmentation. In such cases, the network segmentation task gets completed, however, restarting one or more services fails to complete on time. To ensure that the necessary services starts on time, log in to a CVM over SSH and run the following command: nutanix@CVM:~$ cluster start Verify the service status and ensure that all services are listed as UP.","",""
"Securing Traffic Through Network Segmentation > Prepare the Network on an AHV Host","Configuring the Network on Existing Nodes","172","Configure host networking for physical and service-specific network segmentation on existing nodes. ¶ About this task Perform the following procedure if you are segmenting traffic on nodes that are already part of a cluster: ¶ Procedure ¶ 1. Remove the uplinks from the default virtual switch vs0. ¶ 2. Create a virtual switch for the backplane traffic or service whose traffic you plan to isolate. ¶ For information about creating a new virtual switch, see Creating or Updating a Virtual Switch in the Prism Web Console Guide. ¶ 3. Add the uplinks to the new virtual switch. ¶ What to do next Prism Element can configure a VLAN only on AHV hosts. If the hypervisor is ESXi, in addition to configuring the VLAN on the physical switch, you must configure the VLAN on the port group. If you are performing physical network segmentation, see Physically Isolate the Backplane Traffic on an Existing Cluster on page 175. If you are performing service-specific traffic isolation, see Service-Specific Traffic Isolation on page 189.","",""
"Securing Traffic Through Network Segmentation > Prepare the Network on an AHV Host","Configuring the Network on New Nodes","172","Configure host networking for physical and service-specific network segmentation on new nodes. ¶ About this task Perform the following procedure if you are segmenting traffic on an unconfigured node (new host) that is not part of a cluster: ¶ Procedure ¶ 1. Log into the new AHV host as a root user using SSH and create a directory: $ ssh root@IP-address-host ""mkdir -p /dev/shm/config/"" Replace IP-address-host with the IP address of the newly created AHV host. ¶ 2. Create a cluster_config file: $ ssh root@IP-address-host ""echo -e '{\n \""arp_ip\"": \""ARP-internal-IP-address\"",\n \""dhcp_ip\"": \""IP-address-cvm\""\n}' > /dev/shm/config/cluster_config.0"" Replace: ¶ IP-address-host with the IP address of the newly created AHV host. ARP-internal-IP-address with an internal IP address from the subnet reserved for Kubernetes ¶ infrastructure network, for example 192.168.5.2 The newly created node must include a cluster_config file for the manage_ovs commands to work. ¶ 3. Log into the new AHV host as a nutanix user using SSH and create a bridge for the backplane traffic or service: nutanix@cvm$ manage_ovs --bridge_name bridge-name create_single_bridge Replace the bridge-name with a name of the bridge, for example br0. Perform this step only on a newly imaged or foundation setup. ¶ Note: After you run the manage_ovs -bridge_name command, the system shows the Failed to fetch gflags. Acropolis service might be down error message. You can ignore the error and proceed. ¶ 4. From the default bridge br0, log in to the host CVM and keep only eth0 and eth1 in br0: nutanix@cvm$ manage_ovs --bridge_name br0 --interfaces eth0,eth1 -- bond_name bond_name --bond_mode bond_mode update_uplinks Replace: ¶ bond-name with the name of the uplink port such as br0-up for which you want to set the bond mode. bond_mode with a valid bond mode such as active-backup. ¶ 5. Log in to the host CVM and add eth2 and eth3 to the uplink bond of br1: nutanix@cvm$ manage_ovs --bridge_name br1 --interfaces eth2,eth3 --bond_name bond- name --bond_mode active-backup update_uplinks Replace the bond-name with a name of the uplink port corresponding to the bridge name br1, for example br1- up . ¶ Note: If this step is not done correctly, it creates a network loop that causes a network outage. Ensure that no other uplink interfaces exist on this bridge before adding the new interfaces, and always add interfaces into a bond. ¶ What to do next Prism Element can configure a VLAN only on AHV hosts. If the hypervisor is ESXi, in addition to configuring the VLAN on the physical switch, you must configure the VLAN on the port group. If you are performing physical network segmentation, see Physically Isolate the Backplane Traffic on an Existing Cluster on page 175. If you are performing service-specific traffic isolation, see Service-Specific Traffic Isolation on page 189.","",""
"Securing Traffic Through Network Segmentation > Network Segmentation for Traffic Types- Backplane and Management","Isolate the Backplane Traffic Logically Using VLAN-Based Segmentation","174","Use VLAN-based segmentation to isolate backplane traffic on an existing clusters using the Prism Element web console. You must configure a separate VLAN for the backplane network to achieve logical segmentation. The network segmentation process creates a separate network for backplane communications on the existing default virtual switch. The process then places the eth2 interfaces (that the process creates on the CVMs during an upgrade process) and the host interfaces on the newly created network. This method allows you to achieve logical segmentation of traffic over the selected VLAN. From the specified subnet, assign IP addresses to each new interface. You need two IP addresses per node. When you specify the VLAN ID, AHV places the newly created interfaces on the specified VLAN. In this method, logical segmentation (VLAN-based segmentation) is done on the default bridge for AHV nodes. The process creates the host backplane interface (VMkernel) on the backplane network port group on ESXi or br0- backplane (interface) on br0 bridge in case of AHV. The eth2 interface on the CVM is on the CVM backplane network by default. You don't need to manually create the VMkernel adapter for backplane segmentation as the workflow creates it on the port group selected as the host port group or default backplane network port group if none was selected. You need separate VLANs for the management and backplane networks. For example, configure VLAN 100 as the management network VLAN and VLAN 200 as the backplane network VLAN on the Ethernet links that connect the Nutanix nodes to the physical switch.","",""
"Securing Traffic Through Network Segmentation > Network Segmentation for Traffic Types- Backplane and Management","Isolating the Backplane Traffic Logically on an Existing Cluster","174","Configure VLAN-based segmentation for backplane traffic on an existing ESXi and Hyper-V clusters. ¶ Before you begin ¶ Use the RDMA-specific procedure if your cluster includes RDMA-enabled NICs. For more information, see Isolating the Backplane Traffic on an Existing RDMA Cluster on page 200. ¶ For ESXi clusters, you must create and manage port groups that networking uses for CVM and backplane networking. Ensure that you create port groups on the default virtual switch vs0 for the ESXi hosts and CVMs. The backplane traffic segmentation is logical and based on the VLAN that you tag for the port groups. When creating the port groups, ensure that you tag the new port groups created for the ESXi hosts and CVMs with the appropriate VLAN ID. Consult your networking team to acquire the necessary VLANs for use with Nutanix nodes. ¶ Note: Nutanix does not control these VLAN IDs. ¶ For new backplane networks, you must specify a non-routable subnet. The interfaces on the backplane network are automatically assigned IP addresses from this subnet, so reserve the entire subnet for the backplane network ¶ segmentation. See the Configuring Backplane IP Pool on page 183 topic to create an IP pool for backplane interfaces. To segment the network on an existing AHV cluster for a backplane LAN, follow the procedure described in the Physically Isolating the Backplane Traffic on an AHV Cluster on page 176 topic. ¶ About this task To segment the network on an existing ESXi and Hyper-V clusters for a backplane LAN, follow these steps: ¶ Procedure ¶ 1. Log in to the Prism Element web console as an administrator. ¶ 2. From the main menu, click the gear icon. ¶ 3. In the left pane, click Network Configuration. The Network Configuration dialog box appears. ¶ 4. In the Internal Interfaces > Backplane LAN row, click Configure. The Create Interface dialog box appears. ¶ 5. In the Create Interface dialog box, provide the necessary information: ¶ 1. In the Subnet IP field, specify a non-routable subnet. Ensure that the subnet has sufficient IP addresses. The segmentation process requires two IP addresses per node. Reconfiguring the backplane to increase the size of the subnet involves cluster downtime, so you might also want to make sure that the subnet can accommodate new nodes in the future. ¶ 2. In the Netmask field, specify the netmask. ¶ 3. (Optional) To assign the interfaces on the network to a VLAN, specify the VLAN ID in the VLAN ID field. Nutanix recommends that you use a VLAN. If you do not specify a VLAN ID, Prism Element uses the default VLAN on the virtual switch. ¶ 4. In the Host Port Group list, select the port group that you created for the host. ¶ 5. In the CVM Port Group list, select the port group that you created for the CVM. ¶ Note: For VLAN-based segmentation, Nutanix recommends that you leave the Host Port Group and CVM Port Group fields blank. Prism Element selects the default port group from vSwitch0 when you do not provide the Host Port Group and CVM Port Group details. ¶ 6. Click Verify and Save. The network segmentation process creates the backplane network if the network settings that you specified pass validation.","",""
"Securing Traffic Through Network Segmentation > Network Segmentation for Traffic Types- Backplane and Management","Physically Isolate the Backplane Traffic on an Existing Cluster","175","Use the Prism Element web console to configure the eth2 interface on a separate virtual switch. This setup isolates backplane traffic on a dedicated physical network. If you don't configure a separate virtual switch, backplane traffic uses a different VLAN on the default switch for logical isolation. A virtual switch is referred to differently across hypervisors: ¶ AHV - Virtual switch VMware ESXi - vSwitch Microsoft Hyper-V - Hyper-V Virtual Switch ¶ Network segmentation process creates a separate network for backplane communications on the new virtual switch. The segmentation process places the CVM eth2 interfaces and the host interfaces on the newly created network. Specify a subnet with a network mask and, optionally, a VLAN ID. From the specified subnet or an IP pool assign IP addresses to each new interface in the new network. You require a minimum of two IP addresses per node. If you specify the optional VLAN ID, the segmentation process places the newly created interfaces on VLAN. Nutanix highly recommends using separate VLAN for the backplane network to achieve true segmentation. ¶ Requirements ¶ Ensure that physical isolation of backplane traffic is supported by the AOS version deployed. Ensure that you configure the network (port groups or bridges) on the hosts and associate the network with the ¶ required physical NICs before you enable physical isolation of the backplane traffic. For AHV, see Configuring the Network on Existing Nodes on page 172. For ESXi and Hyper-V, see VMware or Microsoft documentation. ¶ Limitations ¶ On an ESXi cluster with a DVS switch and network segmentation enabled, the ESXi hypervisor might trigger HA events such as host isolation response and reboot all VMs when the management network goes down. To avoid this situation, configure multiple isolation response addresses using the das.isolationaddress Advance Option in VMware vCenter. ¶ Segmenting backplane traffic can involve up to two rolling reboots of the CVMs. The first rolling reboot moves the backplane interface (eth2) of the CVM to the selected port group, virtual switch or Hyper-V switch. This is done only for CVMs whose backplane interface is not already connected to the selected port group, virtual switch or Hyper-V switch. The second rolling reboot migrates the cluster services to the newly configured backplane interface. ¶ Physically Isolating the Backplane Traffic on an AHV Cluster Create a dedicated virtual switch and configure the backplane network to physically segment backplane traffic on an AHV-based Nutanix cluster. ¶ Before you begin Ensure that the network is configured on the AHV hosts. For more information, see Configuring the Network on Existing Nodes on page 172. ¶ Note: Before you perform the following procedure, ensure that the uplinks you added to the virtual switch are in the UP state. ¶ About this task To physically segment the backplane traffic on an AHV cluster, follow these steps: ¶ Procedure ¶ 1. Shut down all the guest VMs in the cluster from within the guest OS or use the Prism Element web console. ¶ 2. Place all AHV hypervisor nodes of a cluster into the maintenance mode. Do not place the CVM nodes into the maintenance mode: ¶ a. Use SSH to log in to a Controller VM in the cluster. ¶ b. Determine the IP address of all the AHV hypervisor nodes: ¶ nutanix@cvm$ acli host.list ¶ Note all the hypervisor IP addresses for the cluster. ¶ c. Put each node in the maintenance mode: ¶ nutanix@cvm$ acli host.enter_maintenance_mode hypervisor-IP-address [wait=""{ true | false }"" ] [non_migratable_vm_action=""{ acpi_shutdown | block }"" ] ¶ Replace hypervisor-IP-address with the AHV hypervisor IP address. ¶ The following are optional parameters: ¶ wait ¶ non_migratable_vm_action ¶ For example: ¶ nutanix@cvm$ acli host.enter_maintenance_mode 197.116.6.79 EnterMaintenanceMode: pending EnterMaintenanceMode: complete ¶ Note: Never put Controller VM and AHV hosts into maintenance mode on single-node clusters. Nutanix recommends shutting down user VMs before proceeding with disruptive changes. If a cluster has HA reservation enabled, the nodes in the cluster cannot enter maintenance mode. To check if the cluster has HA reservation enabled, go to Settings > Manage VM High Availability. ¶ Do not continue if the node fails to enter the maintenance mode. ¶ d. Verify that the node is in the maintenance mode: ¶ nutanix@cvm$ acli host.get hypervisor-IP-address ¶ In the output that is displayed, ensure that node_state is EnteredMaintenanceMode and schedulable is False. ¶ Example output. ¶ nutanix@cvm$ acli host.get 197.116.6.79 197.116.6.79 { ¶ cpu_usage_ppm: 192941 cvm_memory_size_bytes: 21474836480 cvm_num_vcpus: 8 cvm_num_vnics: 3 cvm_uuid: ""e96dbef0-d425-4926-9fe8-4d10b1a69902"" host_overhead_bytes: 4957721854 logical_timestamp: 23 max_mem_ha_reserved_bytes: 0 mem_assigned_bytes: 0 mem_usage_bytes: 26654856446 memory_size_bytes: 269842644992 node_state: ""EnteredMaintenanceMode"" num_cpus: 32 pool_size_bytes: 0 schedulable: False uuid: ""cc50ea78-49ce-4767-90b3-a0a2ef891446"" ¶ } ¶ 3. Enable backplane network segmentation: a. Log on to the Prism web console, click the gear icon in the top-right corner, then click Network Configuration in the Settings page. b. On the Internal Interfaces tab, in the Backplane LAN row, click Configure. c. In the Backplane LAN dialog box, follow these steps: ¶ 1. In Subnet IP, specify a non-routable subnet that is different from the subnet used by the AHV host and CVMs. The AOS CVM default route uses the CVM eth0 interface, and no route on the backplane interface. Therefore, Nutanix recommends that you use only a non-routable subnet for the backplane network. To avoid split routing, do not use a routable subnet for the backplane network. Make sure that the backplane subnet has a sufficient number of IP addresses. Two IP addresses are required per node. Reconfiguring the backplane to increase the size of the subnet involves cluster downtime, so ensure that the subnet can accommodate new nodes in the future. You can also use an IP pool to configure network segmentation. For more information, see Configuring Backplane IP Pool on page 183 ¶ 2. In Netmask, specify the network mask. ¶ 3. (Optional) To assign the interfaces on the network to a VLAN, specify the VLAN ID in the VLAN ID field. Nutanix strongly recommends configuring a separate VLAN. If you do not specify a VLAN ID, AOS applies the untagged VLAN on the virtual switch. ¶ 4. In the Virtual Switch list, select the virtual switch that you created for the backplane traffic. d. Click Verify and Save. If the network settings that you specified pass validation, the segmentation process creates a backplane network and the CVMs perform a reboot in a rolling fashion (one at a time), after which the services use the new backplane network. You can track the progress of this operation on the Prism Element web console Tasks page. ¶ 4. Log in to a CVM in the cluster with SSH and stop Acropolis cluster-wide: nutanix@cvm$ allssh genesis stop acropolis ¶ 5. Restart Acropolis cluster-wide: nutanix@cvm$ cluster start ¶ 6. Remove all nodes from maintenance mode: a. From any CVM in the cluster, exit the AHV host from the maintenance mode: nutanix@cvm$ acli host.exit_maintenance_mode hypervisor-IP-address Replace hypervisor-IP-address with the IP address of the node. For example. nutanix@CVM$ acli host.exit_maintenance_mode 197.116.6.79 ExitMaintenanceMode: pending ¶ ExitMaintenanceMode: complete ¶ This command migrates all the VMs that were previously running on the host back to the host. ¶ b. Verify that the node has exited the maintenance mode: ¶ nutanix@cvm$ acli host.get hypervisor-IP-address ¶ Replace hypervisor-IP-address with the IP address of the node. In the output that is displayed, ensure that node_state is kAcropolisNormal or AcropolisNormal and schedulable is True. Example output. ¶ nutanix@cvm$ acli host.get 197.116.6.79 197.116.6.79 { ¶ cpu_usage_ppm: 192941 cvm_memory_size_bytes: 21474836480 cvm_num_vcpus: 8 cvm_num_vnics: 3 cvm_uuid: ""e96dbef0-d425-4926-9fe8-4d10b1a69902"" host_overhead_bytes: 4957721854 logical_timestamp: 23 max_mem_ha_reserved_bytes: 0 mem_assigned_bytes: 0 mem_usage_bytes: 26654856446 memory_size_bytes: 269842644992 node_state: ""AcropolisNormal"" num_cpus: 32 pool_size_bytes: 0 schedulable: True uuid: ""cc50ea78-49ce-4767-90b3-a0a2ef891446"" } ¶ 7. Power on the guest VMs from the Prism Element web console. ¶ Physically Isolating the Backplane Traffic on an ESXi Cluster Configure a dedicated vSwitch, subnet, and VLAN to physically isolate backplane traffic and apply settings using the Prism Element web console for secure segmentation. ¶ Before you begin On the ESXi hosts, follow these steps: ¶ 1. Create a vSwitch for the backplane traffic. ¶ 2. From vSwitch0, remove the uplinks (physical NICs) that you plan to add to the vSwitch that you created for the ¶ backplane traffic. ¶ 3. On the backplane vSwitch, create one port group for the CVM and another for the host. ¶ Ensure that at least one uplink is present in the Active Adaptors list for each port group if you have overridden the failover order. You don't need to manually create the VMkernel adapter for backplane segmentation since the workflow takes care of creating it on the port group selected as the host port group. For more information, see VMware ESXi documentation. Before you perform the following procedure, ensure that the uplinks you added to the vSwitch are in the UP state. ¶ About this task To physically segment the backplane traffic, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Element as an administrator. ¶ 2. Click the gear icon in the top-right corner, then in the Settings page, click Network Configuration. ¶ 3. On the Internal Interfaces tab, in the Backplane LAN row, click Configure. ¶ 4. In the Backplane LAN dialog box, follow these steps: ¶ a. In Subnet IP, specify a non-routable subnet that is different from the subnet used by the ESXi host and CVMs. The AOS CVM default route uses the CVM eth0 interface, and no route on the backplane interface. Nutanix recommends that you use only a non-routable subnet for the backplane network. To avoid split routing, do not use a routable subnet for the backplane network. Make sure that the subnet has a sufficient number of IP addresses. Each node requires two IP addresses. Reconfiguring the backplane to increase the size of the subnet involves cluster downtime, so you might also want to make sure that the subnet can accommodate new nodes in the future. ¶ b. In Netmask, specify the network mask. ¶ c. (Optional) To assign the interfaces on the network to a VLAN, specify the VLAN ID in the VLAN ID field. Nutanix strongly recommends configuring a separate VLAN. If you do not specify a VLAN ID, AOS applies the default VLAN on the virtual switch. ¶ d. In the Host Port Group list, select the port group that you created for the host. A port group can be a standard vSwitch port group, a distributed vSwitch port group, or a NSX segment reflected as a distributed port group in the vCenter. ¶ e. In the CVM Port Group list, select the port group that you created for the CVM. A port group can be a standard vSwitch port group, a distributed vSwitch port group, or a NSX segment reflected as distributed port group in the vCenter. ¶ Note: Nutanix clusters support both vSphere Standard Switches and vSphere Distributed Switches with either normal portgroups or NSX segment backed portgroups. However, you must configure only one type of virtual switches in one cluster. Configure all the backplane and management traffic in one cluster on either vSphere standard switches or vSphere distributed switches. Do not mix standard and distributed vSwitches on a single cluster. Make sure that you configure the same port group type (normal or NSX segment) on all nodes of the cluster. ¶ 5. Click Verify and Save. If the network settings that you specified pass validation, the segmentation process creates the backplane network and the CVMs perform a reboot in a rolling fashion, after which the services use the new backplane network. You can track the progress of this operation in the Prism Element web console Tasks page. ¶ Physically Isolating the Backplane Traffic on a Hyper-V Cluster Configure a dedicated Hyper-V switch, subnet, and VLAN to physically isolate backplane traffic and apply settings using the Prism Element web console for secure segmentation. ¶ Before you begin On the Hyper-V hosts, perform these steps: ¶ 1. Create a Hyper-V Virtual Switch for the backplane traffic. ¶ 2. From the default External Switch, remove the uplinks (physical NICs) that you want to add to the backplane Virtual Switch you created for the backplane traffic. ¶ 3. On the backplane Virtual Switch, create a subnet and, optionally, assign a VLAN. For more information, see Hyper-V documentation on the Microsoft portal. Before you perform the following procedure, ensure that the uplinks that you added to the backplane Virtual Switch are in the UP state. ¶ About this task To physically segment the backplane traffic, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Element as an administrator. ¶ 2. Click the gear icon in the top-right corner, and then in the Settings page, click Network Configuration. ¶ 3. On the Internal Interfaces tab, in the Backplane LAN row, click Configure. ¶ 4. In the Backplane LAN dialog box, follow these steps: ¶ a. In Subnet IP, specify a non-routable subnet that is different from the subnet used by the Hyper-V host and CVMs. The AOS CVM default route uses the CVM eth0 interface, and no route on the backplane interface. Nutanix recommends that you use only a non-routable subnet for the backplane network. To avoid split routing, do not use a routable subnet for the backplane network. Make sure that the subnet has a sufficient number of IP addresses. Each node requires two IP addresses. Reconfiguring the backplane to increase the size of the subnet involves cluster downtime, so you might also want to make sure that the subnet can accommodate new nodes in the future. ¶ b. In Netmask, specify the network mask. c. (Optionally) To assign the interfaces on the network to a VLAN, specify the VLAN ID in the VLAN ID field. ¶ Nutanix strongly recommends that you configure a separate VLAN. If you do not specify a VLAN ID, AOS applies the default VLAN on the virtual switch. d. In the Bridge list, select the Hyper-V switch that you created for the backplane traffic. ¶ 5. Click Verify and Save. If the network settings you specified pass validation, the segmentation process creates the backplane network and the CVMs perform a reboot in a rolling fashion, after which the services use the new backplane network. You can track the progress of this operation in the Prism Element web console Tasks page. Segmenting backplane traffic can involve up to two rolling reboots of the CVMs. The first rolling reboot moves the backplane interface (eth2) of the CVM to the selected port group or virtual switch. This is done only for CVMs whose backplane interface is not already connected to the selected port group or bridge virtual switch. The second rolling reboot migrates the cluster services to the newly configured backplane interface.","",""
"Securing Traffic Through Network Segmentation > Network Segmentation for Traffic Types- Backplane and Management","Enabling Physical Backplane Segmentation on Hyper-V Using CLI","181","Physical backplane segmentation support is now available on a cluster containing Hyper-V nodes. ¶ About this task To enable physical backplane segmentation on a cluster containing Hyper-V node using CLI, follow these steps: ¶ Procedure ¶ 1. Log on to any CVM in the cluster using SSH. ¶ 2. Enable backplane segmentation on a Hyper-V node: ¶ nutanix@CVM:~$ network_segmentation --backplane_network -ip_pool=IP-Pool-name -backplane_vlan=VLAN-ID -host_physical_network=hyperv_host_physical_network ¶ Replace IP-Pool-name with a user defined IP pool name Replace VLAN-ID with a backplane VLAN ID Replace hyperv_host_physical_network with the Hyper-V switch name For example: nutanix@CVM:~$ network_segmentation --backplane_network -ip_pool=BackplanePool -backplane_vlan=1234 -host_physical_network=BackplaneSwitch","",""
"Securing Traffic Through Network Segmentation > Network Segmentation for Traffic Types- Backplane and Management","Enabling Backplane Network Segmentation on a Mixed Hypervisor Cluster","182","Enable backplane network segmentation on a mixed hypervisor cluster. ¶ About this task You can enable Backplane Network Segmentation on a mixed hypervisor cluster: ¶ ESXi and AHV storage-only nodes Hyper-V and AHV storage-only nodes To enable backplane network segmentation on a mixed hypervisor cluster, follow these steps: ¶ Procedure ¶ 1. Log in to any CVM in the cluster using SSH. ¶ 2. Enable network segmentation for backplane traffic: ¶ On a cluster containing ESXi and AHV storage only nodes: nutanix@cvm$ network_segmentation --backplane_network -ip_pool=IP-pool-name -backplane_vlan=VLAN-ID [--esx_host_physical_network=ESXi-host-portgroup-name ] [--esx_cvm_physical_network=ESXi-cvm-portgroup-name ] [--ahv_host_physical_network=AHV-network-name ] ¶ On a cluster containing Hyper-V and AHV storage-only nodes: nutanix@cvm$ network_segmentation --backplane_network -ip_pool=IP-pool-name -backplane_vlan=VLAN-ID [--hyperv_host_physical_network=HyperV-host-network-name ] [--ahv_host_physical_network=AHV-network-name ] ¶ Replace IP-Pool-name with a user defined IP pool name ¶ Replace VLAN-ID with a backplane VLAN ID ¶ Replace ESXi-host-portgroup-name with the ESXi host network name ¶ Replace ESXi-cvm-portgroup-name with the ESXi CVM network name ¶ Replace AHV-network-name with the AHV storage-only node bridge name ¶ Replace HyperV-host-network-name with the Hyper-V switch name ¶ For example, enable network segmentation on a mixed hypervisor containing ESXi and AHV storage-only nodes: ¶ nutanix@cvm$ network_segmentation --backplane_network -ip_pool=BackplanePool -backplane_vlan=1234 -esx_host_physical_network=host-pg -esx_cvm_physical_network=cvm-pg -ahv_host_physical_network=br1","",""
"Securing Traffic Through Network Segmentation > Network Segmentation for Traffic Types- Backplane and Management","Backplane IP Pool","183","Create and manage small IP pools for backplane traffic using the CLI to optimize IP usage and avoid full subnet allocation. ¶ Network segmentation for backplane traffic previously required an entire subnet even if a cluster has a small number of nodes. Allocating an entire subnet resulted in inefficient use of IP addresses. The backplane IP address pool feature creates a small IP address pool instead of an entire subnet. ¶ You can create an IP address pool using the network_segmentation ip_pool command. The named IP address pool includes one or more IP address ranges. For example, you can define one range from 172.16.1.100 to 172.16.1.105 and another range from 172.16.1.120 to 172.16.1.125, all within the same named IP address pool and subnet. ¶ Currently, the Prism Element web console does not offer an option to create an IP address pool specifically for backplane segmentation. However, it does allow for the creation of small IP address pools for service-specific traffic, such as Nutanix Volumes and Nutanix Disaster Recovery (DR). You can use the new network_segmentation ip_pool CLI to create IP address pools for backplane, Nutanix Volumes, and Nutanix DR. You can also manage (edit, delete, and update) IP address pools that are created for backplane, Nutanix Volumes and Nutanix DR using the new CLI.","",""
"Securing Traffic Through Network Segmentation > Network Segmentation for Traffic Types- Backplane and Management","Configuring Backplane IP Pool","183","Create an IP pool for backplane interfaces using the CLI. ¶ About this task To configure IP address pool for backplane, perform the following steps: ¶ Procedure ¶ 1. Log in to any CVM in the cluster using SSH. ¶ 2. Create a new IP address pool and define the IP address ranges: ¶ nutanix@cvm$ network_segmentation --ip_pool_name=IP-Pool-name -- `Last-IP- ip_pool_netmask=netmask -ip_ranges=""[(`First-IP-Address', `Last-IP-Address'), (`First-IP-Address', Address')]"" ip_pool create ¶ Replace IP-Pool-name with a user-defined IP address pool name Replace Netmask with a network mask in dot-decimal mask notation ¶ Replace First-IP-Address with the first IP address in the range Replace Last-IP-Address with the last IP address in the same range For example: nutanix@cvm$ network_segmentation --ip_pool_name=BackplanePool -- ip_pool_netmask=255.255.255.0 -ip_ranges=""[('172.16.1.100', '172.16.1.105'), ('172.16.1.120', '172.16.1.125')]"" ip_pool create","",""
